BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
PSB 1 Ltr 2019 modified,PB0001,Patanjali PSB 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0070,Label for Patanjali PSB 1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,1008,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),20.16,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0126,Poly Vinyl Pyrrolidone (PVP),30.24,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0129,Glycerol,10.08,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0132,Sodium Cloride (Nacl),5.04,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0525,Potassium Chloride (KCL),5.04,Kgs.,UQC_kgs,2019-04-29 17:34:53
PSB/1708/02,PB0001,Patanjali PSB 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0070,Label for Patanjali PSB 1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,604.8,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_ltr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
Patanjali Jaivik Khad For:1 (April 2018),PB0002,Patanjali Jaivik Khad 40 Kg,25,Pcs.,PB0025,Rock Phosphate 30%,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0029,Neem Cake,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0047,Empty Bag for Patanjali Jaivik Khad 40Kg,25,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0085,Premix Nutrient Powder,30,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,750,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0087,Cow Urine Ark Distillate,5,Ltr.,UQC_ltr,2019-04-29 17:34:53
