Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Nandan Steels,PRT0105,08mm Thick MS Plate,PB0627,,,,
Ambica Scientific Industries,PRT0087,1 Litre Glass Beaker,PB0319,,,,
Namdev & Sons,PRT0163,1 X 1 Feet PCC Chamber / Chequred Plate,PB0595,,,,
IRANI TRADERS,PRT0146,1.0 Ton Voltas Split All Weather AC,PB0417,,,,
Sant Sales,PRT0100,1.5 Ton Voltas Split All Weather AC,PB0229,,,,
Shiva Tools & Mill Store,PRT0238,"1.5"" Chain 3 Mtr",PB0859,,,,
Shiva Tools & Mill Store,PRT0238,"1.5"" Chain Lock Full",PB0856,,,,
Shiva Tools & Mill Store,PRT0238,"1.5"" Chain Lock Half",PB0857,,,,
Bharat Hardware And Electricals,PRT0112,"1.5D Elbow,GI  - Class C, ERW 150mm",PB0825,,,,
Bhagwati Hardware & Electricals,PRT0193,"1.5D Elbow,GI  - Class C, ERW 40mm",PB0658,,,,
Bhagwati Hardware & Electricals,PRT0193,"1.5D Elbow,GI  - Class C, ERW 50mm",PB0657,,,,
Bhagwati Hardware & Electricals,PRT0193,"1.5D Elbow,GI  - Class C, ERW 80mm",PB0656,,,,
Shiva Tools & Mill Store,PRT0238,"1"" Chain 3 Mtr",PB0858,,,,
Shiva Tools & Mill Store,PRT0238,"1"" Chain Lock Full",PB0854,,,,
Shiva Tools & Mill Store,PRT0238,"1"" Chain Lock Half",PB0855,,,,
Mittal Machinery Store,PRT0035,10 AMP Socket,PB0794,,,,
Mittal Machinery Store,PRT0035,10 AMP Switch,PB0793,,,,
New Kanha Medical Store,PRT0255,10 Ml Syring,PB1044,,,,
Mittal Machinery Store,PRT0035,10 Sqmm X 3 Core Copper Flexible Cable,PB0696,,,,
Bhagwati Hardware & Electricals,PRT0193,100 Watt Colt Bulb,PB1287,,,,
A. R. Enterprises,PRT0283,10mm PIN TYPE COPPER LUG,PB0947,,,,
A. R. Enterprises,PRT0283,10mm RING TYPE COPPER LUG,PB0949,,,,
Nandan Steels,PRT0105,10mm Thick MS Plate Size-1500X5000 mm,PB0299,,,,
Power Tech India,PRT0182,11 KV HT VCB I/C+OG Make Crompton Greave,PB0578,,,,
Namdev & Sons,PRT0163,11 KV Pin Insulator With Pin,PB0598,,,,
Mittal Machinery Store,PRT0035,12 Model Plate With Pvc Box,PB0789,,,,
J. P. Sales Corporation,PRT0120,12 V 18 AH Battery Make : Rocket,PB0328,,,,
Bhagwati Hardware & Electricals,PRT0193,12 Way MCB Box,PB1245,,,,
Bharat Hardware And Electricals,PRT0112,120 LUG Ring all,PB1028,,,,
Bhargava Brothers,PRT0009,1222 Perm Marker LXR,PB0922,,,,
Royal Trading Co.,PRT0250,1222 Perm Marker LXR,PB0922,,,,
Atul Steel Associates,PRT0121,12mm Thick MS Plate Size-1250X2500mm,PB0341,,,,
PATRAM ISPAT BHANDAR,PRT0104,12mm Thick MS Plate Size-1500 X 6300 Mm,PB0241,,,,
Nandan Steels,PRT0105,12mm Thick MS Plate Size-1500 X 6300 Mm,PB0241,,,,
Mittal Machinery Store,PRT0035,16 AMP Combined Box,PB0790,,,,
Mittal Machinery Store,PRT0035,16 AMP Socket,PB0792,,,,
Mittal Machinery Store,PRT0035,16 AMP Switch Modular,PB0791,,,,
Bhagwati Hardware & Electricals,PRT0193,16 AMP Switch Modular,PB0791,,,,
Ganpati Trading Company,PRT0252,16 AMP Switch Modular,PB0791,,,,
