invoiceTypeId,invoiceItemSeqId,invoiceDate,invoiceId,partyDetails,partyId,itemDescription,productId,quantity,Unit,price,amount
SALES_INVOICE,1,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Jaivik PROM 40 Kg,PB0914,6,Pcs.,640,3840
SALES_INVOICE,2,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Jaivik Khad 40 Kg,PB0002,6,Pcs.,426.8,2560.8
SALES_INVOICE,3,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Tricho 1 Kg,PB0019,6,Pcs.,92.8,556.8
SALES_INVOICE,4,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Fluorescens 1 Kg,PB0021,6,Pcs.,88.39,530.34
SALES_INVOICE,5,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali PSB 1 LTR,PB0001,4,Pcs.,180.95,723.8
SALES_INVOICE,6,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Bio Potash 1 LTR,PB0017,2,Pcs.,190.48,380.96
SALES_INVOICE,7,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Patanjali Poshak 05 Kg,PB0004,4,Pcs.,200,800
SALES_INVOICE,8,2019-04-02 00:00:000,HRD/19-20/1,"Sant Kutir, Yogpeeth",CP0021,Bio Culture ( P ),PB0709,4,Kgs.,104.76,419.04
SALES_INVOICE,1,2019-04-13 00:00:000,HRD/19-20/10,"ROCKY AGRO NEEDS,FATEHABAD,HARYANA",CP0062,Patanjali Jaivik PROM 40 Kg,PB0914,148,Pcs.,640,94720
SALES_INVOICE,1,2019-06-19 00:00:000,HRD/19-20/100,PBRI Pvt. Ltd. Punjab Branch,CP0061,Patanjali Jaivik Khad 40 Kg,PB0002,320,Pcs.,480,153600
SALES_INVOICE,1,2019-06-19 00:00:000,HRD/19-20/101,"Sidhu PKSK Gohana,Haryana",CP0151,Patanjali Jaivik PROM 40 Kg,PB0914,100,Pcs.,640,64000
SALES_INVOICE,1,2019-06-19 00:00:000,HRD/19-20/102,N.S. Traders,CP0006,Mix Iron,PB0189,3250,Kgs.,23,74750
SALES_INVOICE,1,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Soil Test Kit (50 Set )-Dharti Ka Doctor,PB1100,500,Pcs.,2117.8,1058900
SALES_INVOICE,2,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali Jaivik PROM 40 Kg,PB0914,280,Pcs.,640,179200
SALES_INVOICE,3,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali Jaivik Khad 40 Kg,PB0002,50,Pcs.,480,24000
SALES_INVOICE,4,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali PSB 1 LTR,PB0001,40,BOX,2280,91200
SALES_INVOICE,5,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali Tricho 1 Kg,PB0019,1,BOX,1113.72,1113.72
SALES_INVOICE,6,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali Fluorescens 1 Kg,PB0021,1,BOX,1113.72,1113.72
SALES_INVOICE,7,2019-06-19 00:00:000,HRD/19-20/103,Patanjali Bio Research Institute WB,CP0114,Patanjali Poshak 05 Kg,PB0004,100,Pcs.,300,30000
SALES_INVOICE,1,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali PSB 1 LTR,PB0001,50,BOX,2280,114000
SALES_INVOICE,2,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Bio Potash 1 LTR,PB0017,50,BOX,2400,120000
SALES_INVOICE,3,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Azoto 1 LTR,PB0011,50,BOX,2280,114000
SALES_INVOICE,4,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Tricho 1 Kg,PB0019,75,BOX,1113.72,83529
SALES_INVOICE,5,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Fluorescens 1 Kg,PB0021,75,BOX,1113.72,83529
SALES_INVOICE,6,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Nemakill 1 Kg,PB0022,50,BOX,1012.56,50628
SALES_INVOICE,7,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Poshak 05 Kg,PB0004,2000,Pcs.,300,600000
SALES_INVOICE,8,2019-06-21 00:00:000,HRD/19-20/104,Patanjali Bio Research Guj,CP0002,Patanjali Bio NPK 1 LTR,PB0104,200,BOX,1827,365400
SALES_INVOICE,1,2019-06-21 00:00:000,HRD/19-20/105,Patanjali Bio Research Guj,CP0002,Jaivik Premix Powder F2 for PROM,PB0879,2000,Kgs.,33,66000
SALES_INVOICE,1,2019-06-21 00:00:000,HRD/19-20/106,Cash,CP0055,Patanjali Jaivik PROM 40 Kg,PB0914,1,Pcs.,640,640
SALES_INVOICE,1,2019-06-21 00:00:000,HRD/19-20/107,PATANJALI FARMER SAMRIDHI PROGRAMME,CP0052,Patanjali Jaivik PROM 40 Kg,PB0914,8,Pcs.,640,5120
SALES_INVOICE,2,2019-06-21 00:00:000,HRD/19-20/107,PATANJALI FARMER SAMRIDHI PROGRAMME,CP0052,Patanjali Poshak 05 Kg,PB0004,8,Pcs.,300,2400
